URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://kip.rkkp.dk/fhir/ValueSet/AKBehandlingDKR,0.2.1,active,,AKBehandlingDKR,AK Behandling (DKR),"AK Behandling (DKR)",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/AKFravalgt,0.2.1,active,,AKFravalgt,Fravalg af antikoagulationsbehandling; årsag,"Årsagen til hvorfor antikoagulationsbehandling er fravalgt",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/ALDkemoterapi,0.2.1,active,,ALDkemoterapi, ALD_Kemoterapi,"ALD kemoterapi",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/APInstabilitetDKR,0.2.1,active,,APInstabilitetDKR,AP-instabilitet (DKR),"AP-instabilitet (DKR)",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/ASAIVI,0.2.1,active,,ASAIVI,ASA klassifikation I-VI,"ASA klassifikation I-VI",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/ASAIVIkort,0.2.1,active,,ASAIVIkort,ASA klassifikation I-VI Kort,"ASA klassifikation I-VI i kort version",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/ATCAntibiotikaprofylakseDKR,0.2.1,active,,ATCAntibiotikaprofylakseDKR,ATC - Antibiotikaprofylakse (DKR),"ATC - Antibiotikaprofylakse (DKR)",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/ATCAntibiotikaprofylakseDosisDKR,0.2.1,active,,ATCAntibiotikaprofylakseDosisDKR,ATC - Antibiotikaprofylakse, dosis (DKR),"ATC - Antibiotikaprofylakse, dosis (DKR)",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/ATCAntibiotikaprofylakseVarighedDKR,0.2.1,active,,ATCAntibiotikaprofylakseVarighedDKR,ATC - Antibiotikaprofylakse, varighed (DKR),"ATC - Antibiotikaprofylakse, varighed (DKR)",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/ATCChemoCLL,0.2.1,active,,ATCChemoCLL,ATC_CLL_kemo,"ATC koder kemoterapi - [CLL]",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/ATCChemoPreparation,0.2.1,active,,ATCChemoPreparation,ATC: Præparater for kemobehandling,"ATC koder for præparater for kemobehandling",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/ATCDMPN,0.2.1,active,,ATCDMPN,ATC DMPN,"ATC koder DMPN behandling. Erstattet af nyt VS fra okt. 2024",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/ATCDMPN202410,0.2.1,active,,ATCDMPN202410,ATC DMPN 202410,"ATC koder DMPN behandling. Valueset erstatter tidligere fra okt. 2024",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/ATCImmunotherapyCLL,0.2.1,active,,ATCImmunotherapyCLL,ATC_CLL_immunterapi,"ATC koder immunterapi - [CLL]",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/ATCTargetCLL,0.2.1,active,,ATCTargetCLL,ATC_CLL_target,"ATC koder targeteret behandling - [CLL]",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/ATCTromboseprofylakseDKR,0.2.1,active,,ATCTromboseprofylakseDKR,ATC - Tromboseprofylakse (DKR),"ATC - Tromboseprofylakse (DKR)",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/AarsagOphoerDNSL,0.2.1,active,,AarsagOphoerDNSL,Årsag til ophør (DNSL),"Årsager til interventionsforløb er ophørt",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/AarsagTilProcedureDCCG,0.2.1,active,,AarsagTilProcedureDCCG,Årsag til anden/aflastende procedure colorectal cancer,"Årsag til anden/aflastende procedure colorectal cancer",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/AcetabulumKnogletabKlassifikationDHR,0.2.1,active,,AcetabulumKnogletabKlassifikationDHR,Acetabulum knogletab klassifikation (DHR),"Acetabulum knogletab klassifikation (DHR)",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/ActilyseIkkeGivet,0.2.1,active,,ActilyseIkkeGivet,Totaldosis i.v. actilyse er ikke givet; årsag,"Årsagen til hvorfor Totaldosis i.v. actilyse ikke er givet",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/AdministrationType,0.2.1,active,,AdministrationType,Medicin administration Type,"Medicin administration Type",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/AdministrationTypeDCCG,0.2.1,active,,AdministrationTypeDCCG,Administrationstype Jern (DCCG),"Administration af præoperativ jernbehandling",,"Internal"
https://kip.rkkp.dk/fhir/ValueSet/AfdelingDandem,0.2.1,active,,AfdelingDandem,Afdelinger til DANDEM,"Afdelinger til DANDEM",,"Internal"
