URL,Version,Status,OIDs,Name,Title,Description,Used
http://terminology.hl7.org/CodeSystem/v2-0532,2.1.0,active,"2.16.840.1.113883.18.347",ExpandedYesNoIndicator,expandedYes-NoIndicator,"HL7-defined code system of concepts used to specify an expansion on the original Yes/No indicator table by including ""flavors of null"".  It is intended to be applied to fields where the response is not limited to ""yes"" or ""no"".  Used in numerous locations in HL7 Version 2.x messaging.","ValueSet/RygningDCCG,ValueSet/Splenomegali,ValueSet/JaNejKanIkkeAfgoeres,ValueSet/MeshTypeVentralhernieDHDB,ValueSet/JaEnkeltUdfald,ValueSet/JaNejIkkeUdfoert,ValueSet/AktivitetDKRR,ValueSet/DonorRelationship,ValueSet/PeritonealdefektLukningDHDB,ValueSet/DoedsaarsagLYFO,ValueSet/ProgressionCML,ValueSet/TreatmentResponseDAMYDA,ValueSet/JaNejIkkeindiceret,ValueSet/JaNejIkkefagligrelevant,ValueSet/JaNejIkkeSpurgt,ValueSet/Ryger8uger,ValueSet/JaNej,ValueSet/JaNejIkkerelevant,ValueSet/JaNejUvistUkendt,ValueSet/Cyclus,ValueSet/DoedsaarsagSAH,ValueSet/ProcedureTypeDCCG3,ValueSet/JaNejBetinget,ValueSet/JaNejUvistUkendtIkkeRelevant,ValueSet/InitialRespons,ValueSet/DoedsaarsagALD,ValueSet/RevisionAarsagDKRR,ValueSet/JaNejUkendtIkkerelevant,ValueSet/BehandlingsresponsCML,ValueSet/MComponentTypeLyfo,ValueSet/DegcMDTBeslutning,ValueSet/MeshTypeIngvinalhernieDHDB,ValueSet/HernieStoerrelse,ValueSet/JaNejUvist,ValueSet/CALRvariant,ValueSet/JaNejUkendt,ValueSet/CytogeneticRiskGrimwade2010,ValueSet/Uoplyst,ValueSet/DoedsaarsagDAMYDA,ValueSet/BehandlingsVarighedDHR,ValueSet/JaNejUvistIkkeudfoert,ValueSet/JaNejEjMaalt,ValueSet/VarigRespons,ValueSet/DoedsaarsagCLL,ValueSet/CytogeneticRiskGrimwade2010DAMYDA"
http://terminology.hl7.org/CodeSystem/v2-0894,2.1.0,active,"2.16.840.1.113883.18.413",SideOfBody,sideOfBody,"Code system of concepts specifying the side of the body (""left"" or ""right"").  Used in HL7 Version 2.x messaging in the PSL segment.","ValueSet/Operationsside,ValueSet/LeftRight"
http://terminology.hl7.org/CodeSystem/v3-AdministrativeGender,3.0.0,active,"2.16.840.1.113883.5.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for adminstrative purposes (as opposed to clinical gender)","ValueSet/Gender"
https://kip.sundk.dk/fhir/CodeSystem/ACTherapyNotGiven,0.0.9,active,,ACTherapyNotGiven,Reasons for not giving anticoagulation therapy,"Årsagen til hvorfor man har fravalgt antikoagulationsbehandling.","ValueSet/AKFravalgt"
https://kip.sundk.dk/fhir/CodeSystem/AKBehandling,0.0.9,active,,AKBehandling,AK Behandling (DKR),"AK Behandling (DKR)","ValueSet/AKBehandlingDKR"
https://kip.sundk.dk/fhir/CodeSystem/ASAClassification,0.0.9,active,,ASAClassification,ASA Physical Status Classification System,"Score udviklet til vurdering af det fysiske helbred. Link: https://www.asahq.org/standards-and-guidelines/asa-physical-status-classification-system","ValueSet/AsaIV,ValueSet/ASAIVI,ValueSet/AsaIVkort,ValueSet/ASAIVIkort"
https://kip.sundk.dk/fhir/CodeSystem/ATC,0.0.9,active,"2.16.840.1.113883.6.73",ATC,WHO ATC,"WHO ATC code system. Link: http://www.whocc.no/atc","ValueSet/BehandlingCML,ValueSet/ATCChemoPreparation,ValueSet/ATCTargetCLL,ValueSet/TreatmentScheduledDAMYDA,ValueSet/BehandlingCMMLMDS,ValueSet/AntibiotikaprofylakseDHR,ValueSet/ATCImmunotherapyCLL,ValueSet/BehandlingMDS,ValueSet/ATCChemoCLL,ValueSet/TreatmentPreservation,ValueSet/Kemoterapiregime,ValueSet/Radioimmunoterapi,ValueSet/AntibiotikaprofylakseDKRR,ValueSet/ATCDMPN202410,ValueSet/Immunoterapi,ValueSet/ATCAntibiotikaprofylakseDKR,ValueSet/BloedningsprofylakseDHR,ValueSet/BehandlingsTypeStamcellestoetteLYFO,ValueSet/ATCDMPN,ValueSet/ATCTromboseprofylakseDKR"
https://kip.sundk.dk/fhir/CodeSystem/ATCMixedCodes,0.0.9,active,,ATCMixedCodes,WHO ATC; Mixed codes,"WHO ATC code system; Mixed codes. Link: http://www.whocc.no/atc","ValueSet/BehandlingCML"
https://kip.sundk.dk/fhir/CodeSystem/ActilyseNotGiven,0.0.9,active,,ActilyseNotGiven,Reasons for not giving total dose of actilyse,"Årsagen til hvorfor man ikke har givet totaldosis i.v. actilyse.","ValueSet/ActilyseIkkeGivet"
https://kip.sundk.dk/fhir/CodeSystem/ActivityType,0.0.9,active,,ActivityType,Activity type,"Activity type","ValueSet/AktivitetSportDKRR,ValueSet/AktivitetDKRR"
